"Data Source","World Development Indicators",

"Last Updated Date","2018-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Middle income","MIC","Vulnerable employment, male (% of male employment) (modeled ILO estimate)","SL.EMP.VULN.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.5347514533145","59.9154745189771","58.9850128880735","58.275014332989","57.7644478565393","57.0420768400855","56.5374215563609","56.4464846772309","56.2751523058745","55.8212741534533","56.7194179550883","56.380292412956","55.7608874369277","54.5423221355512","53.4465145044084","52.3298734501532","51.2957158854752","50.65533236584","50.1090751750221","49.3160670655168","48.1447087832453","47.5150946580371","47.1934319084508","46.8331956066403","46.4786419087918","46.3006949095812","46.3665032190997",
"Middle income","MIC","Vulnerable employment, female (% of female employment) (modeled ILO estimate)","SL.EMP.VULN.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.6874559045589","64.2584664518002","63.2476325690067","62.4199800687976","61.2697945408694","60.202399547622","59.4686420446603","59.3168358575645","59.3886354541008","58.8759774715465","58.8867333293959","58.4942504209476","57.8166757410238","56.429037178536","55.1860054833798","53.766865028245","52.6678762756462","51.4958652502001","50.8157603896655","49.7528972353812","48.2445336981774","47.5474672977093","47.1409838205234","46.8005723874448","46.6177008311911","46.5394266952062","46.7080752849607",
"Middle income","MIC","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.1409982488049","63.2898925509015","63.1482782922812","62.9928847316312","62.6394903814626","62.3881427382324","62.0853664352215","61.7091811428458","61.5669412356153","61.4229744834951","61.2649318432257","61.0975106268504","60.9298086352746","60.8995660836564","60.8782454203269","60.7020917432112","60.4888376038495","60.0322754933235","59.6093794590252","59.328509278932","59.1437734567471","58.9064990521433","58.8069115595397","58.6547891651933","58.4111829006452","58.2089160676631","57.9725748611596",
"Middle income","MIC","Employment to population ratio, 15+, total (%) (national estimate)","SL.EMP.TOTL.SP.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.4501001365799","","","","","62.3914661289369","","","","","59.5832318640353","","60.0913111483559","62.6185042431753","","","","",
"Middle income","MIC","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.7116344001391","77.8497828827196","77.705141338065","77.4903404651373","77.0901242166819","76.8127113194255","76.432024161613","76.0037922659683","75.7922841442513","75.5795229437849","75.3652476514366","75.1131563051812","74.9214589923827","74.8979372004974","74.8581953018188","74.8038824671166","74.7119678201436","74.336945429725","74.0295999989372","73.9063145411509","73.7570773185993","73.5289162698234","73.4237849551267","73.2377617778064","72.9739732168871","72.6709634113237","72.5081320328758",
"Middle income","MIC","Employment to population ratio, 15+, male (%) (national estimate)","SL.EMP.TOTL.SP.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle income","MIC","Employment to population ratio, 15+, female (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.3966984945583","48.5617904609616","48.4304294928445","48.3414108371174","48.0421046284319","47.8238944565984","47.6056571789949","47.2861351658806","47.2177000537415","47.146535761464","47.0439810365893","46.9621270234832","46.8188446212072","46.7806215152409","46.7769448055699","46.4787147761496","46.1434725765063","45.6039404894149","45.0644026358512","44.6244889668444","44.4026619156935","44.154859979509","44.0601490900005","43.9411606473579","43.716810342943","43.6144316315709","43.3028234226458",
"Middle income","MIC","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle income","MIC","Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle income","MIC","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.471862026828","63.8364119784468","62.8056902694678","62.1616387857707","61.3020476439879","60.4931944500205","59.9698068774784","59.8310066597011","59.6261353969383","59.2139988601267","59.8079376803811","59.4664333354948","58.8609628865199","57.7696991317247","56.7373626619719","55.5967810027217","54.616387521081","53.8844319431675","53.1941567369273","52.339558196938","51.3291781560352","50.7169681121987","50.4450535299044","49.978443096521","49.6212921062863","49.4495912817587","49.5662852339764",
"Middle income","MIC","Self-employed, male (% of male employment) (modeled ILO estimate)","SL.EMP.SELF.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.5284916280771","62.8015182334163","61.8997887846016","61.3225724267536","60.6708060243055","59.987640664687","59.5328607042599","59.409246307522","59.1306788185105","58.7806296768052","59.7162992867632","59.3853893658329","58.8207793903255","57.8269109426556","56.849929923009","55.8349508334131","54.8768667545263","54.3718380208325","53.7654431944905","53.0020933608099","52.2214834546241","51.6346540522126","51.3612175403085","50.8894659506344","50.4356608871038","50.2024212875882","50.2791241978056",
"Middle income","MIC","Self-employed, female (% of female employment) (modeled ILO estimate)","SL.EMP.SELF.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.0050836919927","65.514499561387","64.2759940497072","63.5206673365275","62.325223031265","61.3137647423154","60.6779220620386","60.5146222369842","60.4276254181432","59.9146099494261","59.9563092184355","59.5970782144132","58.9253666596491","57.6779082606915","56.5558472818811","55.2102082510388","54.1918305139038","53.0824217428706","52.247824368649","51.2333136313848","49.8340465501025","49.1753832585956","48.9043419459696","48.4466325157149","48.2491022051839","48.1833721918564","48.3618526901746",
"Middle income","MIC","Employers, total (% of total employment) (modeled ILO estimate)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.3551668591225","2.26439790151252","2.1953905915715","2.30453860215905","2.20005251307395","2.24607458925614","2.31383504129831","2.28964145023934","2.16215500896176","2.22568191576994","2.26029473482994","2.27710965399035","2.31370636190492","2.50629445443297","2.62560580442866","2.71901753825807","2.79988045870618","2.91116388505375","2.81921413166226","2.8602143858158","3.14739405385292","3.19014091803389","3.2712284487946","3.15758261216852","3.09072818875332","3.05968966774826","3.07276580416608",
"Middle income","MIC","Employers, male (% of male employment) (modeled ILO estimate)","SL.EMP.MPYR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.99379227137289","2.8862542333306","2.91474776495228","3.04785029052549","2.90637492303839","2.94534242989365","2.99535841617655","2.96293689150604","2.85573695288458","2.95975954867918","2.99691410299997","3.00533931533221","3.06017973195455","3.28461115521407","3.40347498292148","3.5048356254279","3.58093253969634","3.71674167110939","3.65635636673605","3.68604481106143","4.07710056719055","4.11986125690325","4.16772481584944","4.05642359116695","3.95703704916495","3.90183115431301","3.91291380798696",
"Middle income","MIC","Employers, female (% of female employment) (modeled ILO estimate)","SL.EMP.MPYR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.31739408068656","1.25602151653862","1.02832307122596","1.10084621405872","1.05489102471787","1.11197399131619","1.20936583429657","1.19728824169728","1.03902088100979","1.03912159486701","1.06970746153244","1.10335638932277","1.10863309778403","1.24889166490461","1.36991825023048","1.44323841406876","1.52393966998014","1.58670338867869","1.43166030831641","1.48063652324012","1.58921105628727","1.62783056032856","1.76332855515039","1.64634187016873","1.63143970357082","1.64382153047973","1.65372756182856",
"Middle income","MIC","Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)","SL.EMP.1524.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.2256243127326","52.2399744906113","51.6373114826164","51.0255283751956","49.9759332043005","49.1162095073512","48.0851967019567","47.0474178450751","46.3992373435329","45.6149079251703","45.0893787211164","44.6129103520633","44.1905768023811","44.0089834616179","43.7682321160226","43.174681812598","42.6592845401331","41.7631239784621","40.9060901812829","40.1364964179735","39.3614687250709","38.4709903068698","37.7513462802191","36.9850681625028","36.0526354242108","35.3478002464514","34.9236571790785",
"Middle income","MIC","Employment to population ratio, ages 15-24, total (%) (national estimate)","SL.EMP.1524.SP.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle income","MIC","Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)","SL.EMP.1524.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.8509467006987","61.047365686091","60.5957106596327","60.1175218165629","59.1532160681798","58.4078171065951","57.3801106580105","56.4147798032087","55.9017529165835","55.0708203886759","54.52042327138","53.8756983936247","53.4626757705778","53.3635979278113","53.1022581155997","52.5929371684121","51.9952590739592","51.0029513182197","50.0976240190706","49.3218734581625","48.4702721455061","47.4565001193106","46.7034422481326","45.8384245390486","44.722730253355","43.9418803558104","43.5313318914712",
"Middle income","MIC","Employment to population ratio, ages 15-24, male (%) (national estimate)","SL.EMP.1524.SP.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle income","MIC","Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)","SL.EMP.1524.SP.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.2224185347716","43.043837571213","42.2806009707519","41.5261794019484","40.3852361060055","39.4054529061303","38.3700533996628","37.2543440904545","36.4603018291292","35.7179904272291","35.2163212851327","34.9126039585535","34.4755865452685","34.1990483377235","33.9676345676919","33.2748425401873","32.8307928138766","32.01683768563","31.1893583590957","30.4041551113916","29.6864046433849","28.9040425131505","28.1958276408081","27.5116430042001","26.7533528142371","26.1139249549141","25.6608145332615",
"Middle income","MIC","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle income","MIC","Employment in agriculture (% of total employment) (modeled ILO estimate)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.9784206984864","50.3877656096415","49.2703938202554","48.6867938052532","47.8199826665376","47.1890703380146","46.4735793121315","46.3361190033784","45.7450409289403","44.837562709865","44.1057830340183","43.0890666529923","42.052134764088","40.665831842387","39.4774354130601","37.9348482364123","36.5324415905161","35.6205128167272","34.6211293631087","33.3896936092299","32.1896589862857","30.9590266857512","30.3105412748783","29.3665744853851","28.4499901855386","27.7499162050568","27.2537488712891",
"Middle income","MIC","Employment in agriculture, male (% of male employment) (modeled ILO estimate)","SL.AGR.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.0026643528431","49.3207399531955","48.2170764468726","47.444176270754","46.5324287248578","45.8769295678451","45.0049978214447","44.8116261879142","44.2102326840306","43.311660362344","42.6777222371461","41.5561394027906","40.5856516717373","39.0603744533417","37.8090774258503","36.4649442340895","35.1265503320863","34.3761327366459","33.6003478155054","32.5285372049542","31.4503609698368","30.4359584972885","29.8376202291076","28.8119152128089","27.8289094263696","27.158369900498","26.6736176961199",
